Name;Kategorie;Lat;Long;Adresse;Telefon;Webseite;Kurzbeschreibung
Sozialpädiatrisches Zentrum Trier (SPZ) mit Frühförderung mit Außenstellen in Hermeskeil;Kinder- und Jugendhilfe;49.66246  ;6.924306;Trierer Straße 44, 54411 Hermeskeil;0651 2096 730;https://www.spz-trier.de/;
ResoZentrum;Wohnungslosenhilfe;49.727104 ;6.629132;Pellinger Str. 61, 54294 Trier;0651 9980324;https://www.caritas-region-trier.de/hilfe-und-beratung/lebenslagen/wohnungslos/resozentrum/resozentrum;Das ResoZentrum bietet stationär betreutes Wohnen für wohnungslose Männer, die nach Wohnungsverlust, Haft oder einer Suchttherapie einen Neuanfang wagen. Durch individuelle Begleitung unterstützt die Einrichtung den Weg zu mehr Selbstständigkeit, eigenem Wohnraum und sozialer Integration.
Gemeinwesenarbeit Mariahof;Sozialräumliche Angebote ;49.731212;6.658845;Am Mariahof 27f, 54296 Trier;0651 94873-433;https://www.caritas-region-trier.de/hilfe-und-beratung/lebensraeume/stadtteilarbeit/gemeinwesenarbeit-mariahof/stadtteilarbeit-mariahof;Die Gemeinwesenarbeit Mariahof ist eine offene Anlaufstelle für alle Menschen im Stadtteil. Sie berät, unterstützt und entwickelt gemeinsam mit den Bürger*innen Angebote und Projekte, die das Miteinander fördern und die Lebensqualität im Quartier stärken.
Caritas-Werkstätten Trier gGmbH ;Hilfen für Menschen mit Behinderung;49.73215 ;6.612.948;Diedenhofener Straße 9, 54294 Trier; 0651 82850-0;https://www.caritas-region-trier.de/hilfe-und-beratung/lebenslagen/arbeit-und-ausbildung/caritas-werkstaetten/caritas-werkstaetten;Die Caritas-Werkstätten in Trier und Hermeskeil ermöglichen Menschen mit psychischen Beeinträchtigungen die Teilhabe am Arbeitsleben. In verschiedenen Arbeitsbereichen fördern sie berufliche Fähigkeiten und unterstützen den Weg in ein möglichst selbstbestimmtes Arbeitsleben.
Medizinisches Zentrum für Erwachsene mit Behinderung Trier (MZEB);Hilfen für Menschen mit Behinderung;49.73979 ;6.616.919;Luxemburger Str. 144, 54294 Trier;0651 828610;https://mzeb-trier.de/;
Sozialpädiatrisches Zentrum Trier (SPZ) mit Frühförderung Trier;Kinder- und Jugendhilfe;49.73979 ;6.616.919;Luxemburger Str. 144, 54294 Trier;0651 828610;https://www.spz-trier.de/;Das Angebot unseres Zentrums für Sozialpädiatrie und Frühförderung richtet sich an Kinder und Jugendliche im Alter von null bis 18 Jahren mit Auffälligkeiten in allen Entwicklungsbereichen, chronischen Erkrankungen, drohenden und offenkundigen Behinderungen.
TACT GmbH - Annahmestelle Wäscherei;Hilfen für Menschen mit Behinderung;49.74284 ;6.642102;Wisportstraße 20, 54295 Trier;0651 17067920;https://www.trier-tact.de/;
Ambulante Fachberatungsstelle;Wohnungslosenhilfe;49.74638 ;6.624139;Luxemburger Straße 2, 54294 Trier;0651 88130;https://www.caritas-region-trier.de/hilfe-und-beratung/lebenslagen/wohnungslos/allgemeine-fachberatungsstelle/ambulante-fachberatungsstelle;Im Rahmen des Verbundsystems Caritas-Wohnungslosenhilfe dient die Ambulante Fachberatungsstelle  für Menschen ohne Wohnung vorwiegend als erste Anlaufstelle für betroffene Menschen.
Benedikt-Labre-Haus;Wohnungslosenhilfe;49.74638 ;6.624139;Luxemburger Straße 2, 54294 Trier;0651 88130;https://www.caritas-region-trier.de/hilfe-und-beratung/lebenslagen/wohnungslos/benedikt-labre-haus/benedikt-labre-haus;Das Benedikt-Labre-Haus ist die zentrale Anlaufstelle des Caritasverbands Trier für Menschen ohne Wohnung. Mit Übernachtungsheim, Teestube, Orientierungsbereich und Streetwork bietet es umfassende Unterstützung und begleitet Menschen auf dem Weg zurück in ein selbstbestimmtes Leben.
Kältebus;Wohnungslosenhilfe;49.74638 ;6.624139;Luxemburger Straße 2, 54294 Trier;0651 88130;https://www.caritas-region-trier.de/hilfe-und-beratung/lebenslagen/wohnungslos/benedikt-labre-haus/benedikt-labre-haus;Der Kältebus versorgt wohnungslose Menschen und Menschen in sozialen Notlagen in den Wintermonaten mit warmen Getränken, Kleidung und weiterer Unterstützung. Gleichzeitig bietet das Team vor Ort Beratung und Hilfe in akuten schwierigen Lebenssituationen.
Streetwork;Wohnungslosenhilfe;49.74638 ;6.624139;Luxemburger Straße 2, 54294 Trier;0651 88130;https://www.caritas-region-trier.de/hilfe-und-beratung/lebenslagen/wohnungslos/benedikt-labre-haus/benedikt-labre-haus;Streetwork ist ein aufsuchendes Hilfsangebot für wohnungslose und von Wohnungslosigkeit bedrohte Menschen. Die Mitarbeitenden unterstützen direkt vor Ort, leisten unbürokratische Hilfe und begleiten Betroffene auf dem Weg zu weiterführenden Hilfsangeboten.
Gebärdensprach-Dolmetsch-Dienst;Integration in Arbeit und Ausbildung;49.75333 ;6.636565;Stresemannstraße 5, 54290 Trier;0651 2096250;https://www.caritas-region-trier.de/hilfe-und-beratung/lebenslagen/hoerbehinderung/hoerbehinderung/gebaerdensprach-dolmetsch-dienst;
Integrationsfachdienst (IFD) ;Integration in Arbeit und Ausbildung;49.75333 ;6.636565;Stresemannstraße 5, 54290 Trier;0651 2096250;https://www.ifd-trier.de/;
Werkstatt St. Martin;Wohnungslosenhilfe;49.774635 ;6.680618;Auer-von-Welsbach-Str. 6, 54292 Trier;;https://www.caritas-region-trier.de/hilfe-und-beratung/lebenslagen/wohnungslos/werkstatt-st.-martin/werkstatt-st.-martin;Die Werkstatt St. Martin unterstützt Bewohner*innen stationärer Wohneinrichtungen dabei, schrittweise an das Arbeitsleben herangeführt zu werden. Durch praktische Tätigkeiten und individuelle Förderung werden berufliche Fähigkeiten, Selbstvertrauen und gesellschaftliche Teilhabe gestärkt.
Berufsbildungszentrum Haus Elisabeth;Integration in Arbeit und Ausbildung;49.799233 ;6.830629;Im Blumengarten 33, 54346 Mehring;06502 9394-11;https://www.caritas-region-trier.de/hilfe-und-beratung/lebenslagen/arbeit-und-ausbildung/berufsbildungszentrum-haus-elisabeth/berufsbildungszentrum-haus-elisabeth;Das Berufsbildungszentrum Haus Elisabeth in Mehring qualifiziert junge Menschen mit Benachteiligungen in den Berufen Küche und Hauswirtschaft. Neben der fachpraktischen Ausbildung erhalten sie individuelle pädagogische Begleitung und Unterstützung auf dem Weg in den Arbeitsmarkt.
Jugendmigrationsdienst und Jugendmigrationsdienst im Quartier - Konz-Saarburg;Migration und Flucht ;49.696.225;657.674;Schillerstraße 30, 54329 Konz;06501 94571-15;https://www.caritas-region-trier.de/hilfe-und-beratung/lebensraeume/migration-und-flucht/jugendmigrationsdienst/jugendmigrationsdienst;Wir beraten und begleiten zugewanderte Jugendliche und junge Erwachsene im Alter von 12 bis 27 Jahren.
Raphaelswerk;Migration und Flucht ;49.696.225;657.674;Schillerstraße 30, 54329 Konz;06501 94571-21;https://www.caritas-region-trier.de/hilfe-und-beratung/lebensraeume/migration-und-flucht/raphaelswerk/raphaelswerk;Das Raphaelswerk bietet Beratung für Menschen, die sich mit dem Gedanken beschäftigen, in einem anderen Land zu leben und somit vor einer bedeutsamen Entscheidung stehen.
Sozialraumzentrum Konz ;Kinder- und Jugendhilfe;49.697.667;6.575.208;Schillerstraße 24, 54329 Konz;06501 8099770;https://www.caritas-region-trier.de/hilfe-und-beratung/lebensphasen/jugend/sozialraumzentrum-konz/sozialraumorientierte-jugendhilfe;
